artist_names,track_name,peak_rank,weeks_on_chart
Glass Animals,Heat Waves,1,65
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,37
Anitta,Envolver,3,3
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,3,21
GAYLE,abcdefu,1,19
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,32
"Becky G, KAROL G",MAMIII,5,6
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),2,35
"Rauw Alejandro, Chencho Corleone",Desesperados,8,15
Ed Sheeran,Shivers,4,28
Doja Cat,Woman,6,37
Adele,Easy On Me,1,23
Justin Bieber,Ghost,11,27
"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),13,3
Elley Duhé,MIDDLE OF THE NIGHT,14,13
Cris Mj,Una Noche en Medellín,16,4
Lil Nas X,THATS WHAT I WANT,3,27
"Lost Frequencies, Calum Scott",Where Are You Now,18,29
Dove Cameron,Boyfriend,11,6
Ed Sheeran,Bad Habits,3,39
Jaymes Young,Infinity,11,21
Farruko,Pepas,4,37
"Tiësto, Ava Max",The Motto,23,20
Olivia Rodrigo,good 4 u,1,45
"Coldplay, BTS",My Universe,3,26
The Walters,I Love You So,21,24
The Weeknd,Blinding Lights,1,121
"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),12,25
"Megan Thee Stallion, Dua Lipa",Sweetest Pie,17,2
Nirvana,Something In The Way,19,3
Tom Odell,Another Love,31,50
"ACRAZE, Cherish",Do It To It,9,21
The Neighbourhood,Sweater Weather,29,82
Bad Bunny,Yonaguni,3,42
Doja Cat,Need to Know,6,41
Ruth B.,Dandelions,35,32
"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",We Don't Talk About Bruno,8,13
"Doja Cat, SZA",Kiss Me More (feat. SZA),3,50
Stray Kids,MANIAC,39,1
Charlie Puth,Light Switch,19,9
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,77
Olivia Rodrigo,traitor,7,44
"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,5,48
ROSALÍA,CANDY,44,1
Dave,Starlight,45,3
The Neighbourhood,Softcore,35,11
Lil Nas X,MONTERO (Call Me By Your Name),1,52
"PEDRO SAMPAIO, Mc Pedrinho",DANÇARINA,32,5
Eminem,Without Me,31,26
"Blessd, Justin Quiles, Lenny Tavárez",Medallo,48,18
BTS,Butter,2,44
Labrinth,Mount Everest,36,7
Ryan Castro,Jordan,53,4
The Weeknd,Save Your Tears,2,68
Olivia Rodrigo,drivers license,1,63
"ROSALÍA, The Weeknd",LA FAMA (with The Weeknd),32,15
Arctic Monkeys,505,57,12
"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",58,8
"Bad Bunny, Jhay Cortez",DÁKITI,1,73
Sebastian Yatra,Tacones Rojos,45,18
Demi Lovato,Cool for the Summer,61,1
"zzoilo, Aitana",Mon Amour - Remix,34,29
Imagine Dragons,Bones,63,2
Zion & Lennox,Yo Voy (feat. Daddy Yankee),63,5
UZI,ARASAN DA,65,1
Billie Eilish,Happier Than Ever,6,34
Tate McRae,she's all i wanna be,38,7
"Gunna, Future, Young Thug",pushin P (feat. Young Thug),14,11
Måneskin,Beggin',1,42
BoyWithUke,Toxic,23,23
CKay,love nwantiti (ah ah ah),9,28
"Machine Gun Kelly, Bring Me The Horizon",maybe (feat. Bring Me The Horizon),72,1
Harry Styles,Watermelon Sugar,4,123
"BoyWithUke, blackbear",IDGAF (with blackbear),74,1
Eden Muñoz,Chale,75,3
Frank Ocean,Lost,50,10
Juice WRLD,Sometimes,77,1
Tulus,Hati-Hati di Jalan,45,3
Em Beihold,Numb Little Bug,69,8
Eminem,The Real Slim Shady,51,42
Bad Bunny,A Tu Merced,52,19
ROSALÍA,SAOKO,80,2
"Aventura, Bad Bunny",Volví,10,34
